-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,48,48,48,48,48,48,48,48,48,48,48,48,-1,-1
-1,-1,48,48,48,48,48,48,48,48,48,48,48,48,-1,-1
-1,-1,48,48,68,68,48,48,48,48,68,68,48,48,-1,-1
-1,-1,48,48,68,68,48,48,48,48,68,68,48,48,-1,-1
-1,-1,48,48,68,68,48,48,48,48,68,68,48,48,-1,-1
-1,-1,48,48,48,48,48,48,48,48,48,48,48,48,-1,-1
-1,-1,48,48,48,48,48,48,48,48,48,48,48,48,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
